Frame,Min_val,Max_val
frame_0098,0.7737417221069336,0.9391963481903076
frame_0232,0.802703857421875,0.925045371055603
frame_0066,0.7809136509895325,0.9632634520530701
frame_0028,0.7756127715110779,0.9803820848464966
frame_0137,0.7750767469406128,0.9254505038261414
frame_0112,0.7774369716644287,0.9249691963195801
frame_0020,0.7795124053955078,0.9803158044815063
frame_0224,0.8022046089172363,0.9249482750892639
frame_0041,0.7679622173309326,0.9754962921142578
frame_0094,0.7734574675559998,0.9441826343536377
frame_0018,0.7813469171524048,0.9800784587860107
frame_0133,0.777003824710846,0.9252353310585022
frame_0010,0.7899764776229858,0.9749758243560791
frame_0205,0.8003893494606018,0.9248285889625549
frame_0113,0.7778360843658447,0.9248919486999512
frame_0084,0.7792177200317383,0.9488532543182373
frame_0149,0.7863307595252991,0.9252035021781921
frame_0231,0.8027485013008118,0.9251014590263367
frame_0005,0.7909783720970154,0.9723700284957886
frame_0129,0.7827168107032776,0.925082266330719
frame_0055,0.7728474140167236,0.9694206118583679
frame_0237,0.8000580072402954,0.925125002861023
frame_0116,0.7781278491020203,0.9249473214149475
frame_0023,0.7771526575088501,0.9805734157562256
frame_0136,0.7751848101615906,0.9253939390182495
frame_0019,0.7807462215423584,0.9797857403755188
frame_0013,0.7881357669830322,0.979058027267456
frame_0080,0.7805583477020264,0.952915608882904
frame_0123,0.7791571021080017,0.9274054169654846
frame_0174,0.7940880656242371,0.925237238407135
frame_0099,0.7736790180206299,0.9377802014350891
frame_0014,0.7864930033683777,0.9794971346855164
frame_0022,0.7776464819908142,0.9807376265525818
frame_0058,0.7769331336021423,0.9659557342529297
frame_0166,0.7904157042503357,0.9251936674118042
frame_0078,0.78115314245224,0.9557856321334839
frame_0056,0.7753313183784485,0.9677944779396057
frame_0033,0.7719370126724243,0.9781705141067505
frame_0011,0.7899429202079773,0.976413369178772
frame_0079,0.7810878753662109,0.9553414583206177
frame_0031,0.773479700088501,0.9793770909309387
frame_0002,0.7899012565612793,0.9697166681289673
frame_0063,0.7789714336395264,0.9620711207389832
frame_0163,0.7904093861579895,0.9252117872238159
frame_0108,0.7771971821784973,0.92816561460495
frame_0109,0.7771748900413513,0.9273794889450073
frame_0139,0.7762707471847534,0.9254346489906311
frame_0052,0.7709155082702637,0.9693044424057007
frame_0150,0.7869415879249573,0.9253042340278625
frame_0074,0.7809363007545471,0.9595867991447449
frame_0072,0.7810499668121338,0.959369957447052
